LSOACODE,AVEPRICE,AVEINCOME,IMDSCORE,PTAINDEX
E01002253,455019.21,56270,3,2.2
E01002254,467865.12,55820,3.4,4.52
E01002255,294474.94,47933.33,12.1,2.13
E01002256,371641.47,47803.33,5.9,3.63
E01002257,615217.73,60696.67,2.6,14.95
E01002258,274558.02,43723.33,16.3,4.56
E01002259,349845.02,46943.33,6.7,0.66
E01002260,293715.17,43186.67,15.7,2.38
E01002261,276236.84,42433.33,17.5,11.26
E01002262,278854.25,41113.33,18.7,9.34
E01002263,303733.75,45473.33,8.3,2.23
E01002264,229640.42,37746.67,33.4,6.8
E01002265,258342.74,45856.67,11,2.48
E01002266,260581.5,40360,15.7,3.94
E01002267,251610.98,39620,26.2,4.74
E01002268,318992.06,48623.33,13.9,1.42
E01002269,318002.87,48013.33,11.5,1.82
E01002270,772160.36,60790,6.2,3.94
E01002271,816328.35,60786.67,7.4,1.24
E01002272,354454.86,49900,11.4,7.37
E01002273,602910.69,55573.33,9.8,2.32
E01002274,316880.76,50500,8.7,6.8
E01002275,641394.25,55206.67,6.5,3.8
E01002276,279077.65,38426.67,30.4,0.83
E01002277,266756.17,37093.33,35.8,1.78
E01002278,262581.62,35656.67,36.9,6.13
E01002279,250944.81,37203.33,28.2,5.14
E01002280,214907.68,33583.33,48.4,5.91
E01002281,265511.09,35086.67,42.4,5.47
E01002282,200045.66,33636.67,44.6,6.59
E01002283,260829.31,36350,30.1,4.87
E01002284,230203.17,36220,30.6,4.28
E01002285,338839.63,47600,9.6,6.41
E01002286,327974.17,49530,7.2,1.53
E01002287,287296.37,45883.33,9.8,8.12
E01002288,337966.24,50463.33,7.2,3.26
E01002289,330137.35,48236.67,10.5,6.3
E01002290,346696.9,46980,8.7,9.16
E01002291,265834.09,46456.67,11,10.05
E01002292,289046.27,43896.67,20.6,3.08
E01002293,276152.94,46083.33,16.1,4.68
E01002294,390754.12,47600,10.5,2.87
E01002295,259805.25,46553.33,14.6,5.58
E01002296,304434.78,45626.67,16.1,0.41
E01002297,234419.53,36520,42.1,4.67
E01002298,269879.72,45440,15.3,5.75
E01002299,250098.09,40523.33,22.4,5.29
E01002300,320611.33,46006.67,13.6,9.87
E01002301,277519.97,42073.33,12.9,4.98
E01002302,298424.08,42530,19.9,5.37
E01002303,241954.21,39106.67,32.1,5.06
E01002304,371005.75,41926.67,21.9,0.74
E01002305,284165.11,41680,20.3,0.79
E01002306,229162.48,38000,32.8,3.66
E01002307,272002.02,39746.67,22.7,4.42
E01002308,274269.89,39700,28.3,2.63
E01002309,247316.26,38533.33,24.2,3.78
E01002310,217661.23,35840,41.2,4.52
E01002311,249494.48,37553.33,28.6,2.36
E01002312,289864.13,37503.33,34,3.54
E01002313,249494.76,36170,33.3,3.88
E01002314,231854.2,35393.33,40,4.77
E01002315,234204.75,37296.67,26.6,4.55
E01002316,200557.6,33463.33,43.1,2.99
E01002317,483698.49,51900,6.8,3.97
E01002318,403992.12,48903.33,9.8,5.96
E01002319,258726.21,45063.33,17.7,6.3
E01002320,335223.69,49463.33,8.7,4.07
E01002321,362603.64,48603.33,10.2,4.97
E01002322,283193.68,47726.67,9.3,2.72
E01002323,289616.69,47160,11.3,3.51
E01002324,292561.46,44050,21.9,1.19
E01002325,246261.39,39230,28.5,3.23
E01002326,282841.93,41826.67,22.4,8.63
E01002327,281201.17,43240,14,6.58
E01002328,258347.32,44853.33,12.7,6.49
E01002329,284693.23,44506.67,13.7,4.76
E01002330,253697.07,42573.33,19.7,1.57
E01002331,311704.51,42846.67,15.3,5.56
E01002332,280194.24,43320,15.8,5.74
