SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
359,E02000377,Hammersmith and Fulham 006,30,168,28.12,1
360,E02000378,Hammersmith and Fulham 007,24,107,24.225,1
361,E02000379,Hammersmith and Fulham 008,31,179,18.575,0
362,E02000380,Hammersmith and Fulham 009,13,105,17.325,1
363,E02000381,Hammersmith and Fulham 010,22,107,20.04,1
364,E02000382,Hammersmith and Fulham 011,27,112,21.475,1
365,E02000383,Hammersmith and Fulham 012,25,103,18.08333333,1
366,E02000384,Hammersmith and Fulham 013,35,173,33.18,3
367,E02000386,Hammersmith and Fulham 015,45,215,32.04,1
368,E02000387,Hammersmith and Fulham 016,31,108,22.8,1
369,E02000388,Hammersmith and Fulham 017,28,106,19.78,2
370,E02000389,Hammersmith and Fulham 018,20,105,11.38,1
371,E02000390,Hammersmith and Fulham 019,20,88,18.675,1
372,E02000391,Hammersmith and Fulham 020,19,75,17.82,1
373,E02000392,Hammersmith and Fulham 021,35,163,18.23333333,2
374,E02000393,Hammersmith and Fulham 022,11,62,9.45,1
375,E02000394,Hammersmith and Fulham 023,50,181,20,1
376,E02000396,Hammersmith and Fulham 025,38,158,18.4,0
377,E02000397,Haringey 001,61,214,26.425,1
378,E02000398,Haringey 002,105,352,50.425,0
379,E02000400,Haringey 004,44,282,21.8,1
380,E02000401,Haringey 005,100,290,42.975,0
381,E02000402,Haringey 006,81,273,41.35,0
382,E02000403,Haringey 007,55,173,24.925,1
383,E02000404,Haringey 008,59,223,31.35,0
384,E02000405,Haringey 009,18,246,12,1
385,E02000406,Haringey 010,55,196,33.25,1
386,E02000407,Haringey 011,99,297,40.225,1
387,E02000408,Haringey 012,77,315,37.5,1
388,E02000409,Haringey 013,64,201,42.225,1
389,E02000410,Haringey 014,22,210,11.125,1
390,E02000411,Haringey 015,91,349,33.05,1
391,E02000412,Haringey 016,54,176,34.375,2
392,E02000413,Haringey 017,30,313,13.875,0
393,E02000414,Haringey 018,55,242,29.45,1
394,E02000415,Haringey 019,52,175,27.1,1
395,E02000416,Haringey 020,42,202,28.98,1
396,E02000417,Haringey 021,15,125,13.75,1
397,E02000418,Haringey 022,19,157,12,1
398,E02000419,Haringey 023,42,185,24.825,1
399,E02000420,Haringey 024,60,236,36.4,1
400,E02000421,Haringey 025,84,258,42.225,1
401,E02000422,Haringey 026,78,246,29.7,1
402,E02000423,Haringey 027,36,140,22.775,1
403,E02000424,Haringey 028,18,167,19.55,1
404,E02000425,Haringey 029,24,117,27.825,1
